,BTCUSDT,ETHUSDT,BNBUSDT,LTCUSDT,NEOUSDT,XRPUSDT,ADAUSDT,BELUSDT,XLMUSDT,BATUSDT,LINKUSDT,BANDUSDT,ONTUSDT,IOTAUSDT
1619,19238.80000000,597.29000000,29.58920000,86.80000000,17.83000000,0.61205000,0.15619000,1.26260000,0.17265000,0.23850000,13.20200000,6.97270000,0.55780000,0.33750000
1620,19187.67000000,595.36000000,29.61510000,85.30000000,17.74400000,0.60992000,0.15591000,1.25690000,0.17129000,0.23770000,13.20730000,7.04480000,0.55450000,0.33620000
1621,19195.84000000,594.20000000,29.49250000,84.08000000,17.70600000,0.60864000,0.15552000,1.27760000,0.17067000,0.23660000,13.18070000,7.15000000,0.55200000,0.33460000
1622,19213.90000000,594.37000000,29.48460000,84.53000000,17.69500000,0.61282000,0.15544000,1.27290000,0.16970000,0.23620000,13.19410000,7.25920000,0.55120000,0.32680000
1623,19188.36000000,593.11000000,29.47610000,83.99000000,17.66000000,0.61108000,0.15515000,1.25950000,0.16984000,0.23710000,13.17390000,7.58090000,0.55030000,0.32540000
1624,19160.01000000,592.76000000,29.36010000,83.60000000,17.61500000,0.60801000,0.15489000,1.26390000,0.16972000,0.23610000,13.11710000,7.36360000,0.54800000,0.31800000
1625,18939.70000000,586.22000000,29.16680000,82.43000000,17.30500000,0.59609000,0.15226000,1.19650000,0.16645000,0.23240000,12.93020000,7.27060000,0.53750000,0.31460000
1626,18967.01000000,587.31000000,29.12440000,82.49000000,17.34900000,0.59821000,0.15207000,1.20910000,0.16703000,0.23240000,12.95700000,7.34020000,0.54040000,0.31670000
1627,19050.63000000,586.59000000,29.21490000,82.73000000,17.37800000,0.60285000,0.15296000,1.21110000,0.16722000,0.23350000,12.97270000,7.39810000,0.54170000,0.31620000
1628,19075.41000000,588.47000000,29.24620000,83.16000000,17.41600000,0.60253000,0.15314000,1.23020000,0.16755000,0.23550000,13.01090000,7.45480000,0.54310000,0.31760000
1629,19114.48000000,590.70000000,29.32950000,83.33000000,17.46200000,0.60560000,0.15368000,1.22500000,0.16753000,0.23630000,13.05180000,7.40690000,0.54320000,0.31780000
1630,19166.90000000,591.28000000,29.37000000,83.37000000,17.44200000,0.60818000,0.15401000,1.20880000,0.16804000,0.23570000,13.07040000,7.44000000,0.54460000,0.31860000
1631,19228.40000000,590.87000000,29.42230000,83.99000000,17.50000000,0.60899000,0.15468000,1.22210000,0.16774000,0.23750000,13.10050000,7.58300000,0.54940000,0.31970000
1632,19210.62000000,589.60000000,29.32580000,83.60000000,17.50000000,0.60700000,0.15416000,1.21930000,0.16741000,0.23740000,13.08460000,7.46820000,0.54800000,0.31980000
1633,19177.61000000,588.88000000,29.36640000,83.41000000,17.50600000,0.60689000,0.15429000,1.23280000,0.16684000,0.23780000,13.03730000,7.45000000,0.54710000,0.31960000
1634,19154.73000000,588.45000000,29.25870000,83.11000000,17.48500000,0.60400000,0.15360000,1.23170000,0.16603000,0.23810000,13.04450000,7.45190000,0.54480000,0.32250000
1635,19181.21000000,589.69000000,29.24600000,83.22000000,17.43400000,0.60519000,0.15402000,1.25140000,0.16563000,0.23820000,13.09590000,7.53850000,0.54510000,0.32240000
1636,19293.76000000,594.83000000,29.37390000,83.66000000,17.48500000,0.60919000,0.15490000,1.27750000,0.16640000,0.23750000,13.17920000,7.79440000,0.54730000,0.32330000
1637,19160.49000000,591.06000000,29.27510000,83.00000000,17.44800000,0.60529000,0.15394000,1.24570000,0.16612000,0.23560000,13.12180000,7.68650000,0.54470000,0.32040000
1638,19143.10000000,588.13000000,29.18460000,82.38000000,17.36000000,0.60232000,0.15263000,1.24880000,0.16404000,0.23390000,13.07770000,7.54150000,0.54070000,0.31790000
1639,19069.96000000,584.18000000,28.99190000,82.36000000,17.04000000,0.59777000,0.15106000,1.24080000,0.16184000,0.23060000,12.96900000,7.36440000,0.53510000,0.31250000
1640,18791.77000000,573.74000000,28.32630000,80.63000000,16.75700000,0.58344000,0.14530000,1.20000000,0.15626000,0.22540000,12.62900000,7.24020000,0.52560000,0.30670000
1641,18816.00000000,575.60000000,28.46520000,80.81000000,16.86800000,0.58746000,0.14658000,1.20690000,0.15873000,0.22730000,12.66340000,7.30470000,0.52880000,0.30900000
1642,18762.96000000,573.79000000,28.36410000,80.45000000,16.81500000,0.58766000,0.14586000,1.20030000,0.15801000,0.22640000,12.53470000,7.19750000,0.52520000,0.30880000
1643,18726.93000000,572.78000000,28.24710000,80.10000000,16.78200000,0.58502000,0.14516000,1.20520000,0.15795000,0.22520000,12.51800000,7.14360000,0.52510000,0.30900000
1644,18922.84000000,578.46000000,28.56880000,81.13000000,17.05000000,0.59452000,0.14849000,1.33750000,0.16162000,0.22980000,12.67450000,7.29040000,0.52860000,0.31400000
1645,18865.01000000,576.90000000,28.34810000,80.61000000,17.01600000,0.59138000,0.14744000,1.38080000,0.16226000,0.22820000,12.62650000,7.22720000,0.52650000,0.31200000
1646,18809.91000000,574.13000000,28.16480000,79.72000000,16.89500000,0.58554000,0.14709000,1.37770000,0.16220000,0.22710000,12.58650000,7.11240000,0.52270000,0.30980000
1647,18832.03000000,573.31000000,28.00630000,78.98000000,16.94100000,0.58693000,0.14689000,1.41400000,0.15893000,0.22650000,12.52010000,7.10170000,0.51970000,0.30990000
1648,18927.41000000,576.82000000,28.18320000,79.90000000,17.04700000,0.59093000,0.14867000,1.45010000,0.16163000,0.22770000,12.66610000,7.13850000,0.52400000,0.31170000
1649,18831.00000000,572.79000000,28.02960000,78.97000000,16.78800000,0.58348000,0.14737000,1.42720000,0.15957000,0.22540000,12.51290000,7.05000000,0.51850000,0.30900000
